submission_number,submitter_name_anonymized,snowplow_name,meaning,winning_name
342,qmpyxUuP,snow bear,winter storms when they hit are never kind to syracuse,FALSE
343,9x17tBME,snowy mcplowface,"Pretty popular theme for internet contests, it would be a hit on social media!",FALSE
344,72IQzeUD,shamrock,Represent tipp hill,FALSE
345,KFalD1nq,snowacuse,NAME ON ONE OF OUR SNOW PLOWS.,FALSE
346,lGNVb2Ah,otto's snow removal,Named after the Syracuse University mascot.,FALSE
347,Moj4BLn3,syracuse,Rayan,FALSE
348,xPsV5v0S,katy,"Named after the children's book ""Katy and the big snow""",FALSE
349,brcMFAKk,killdozer,My favorite childhood movie and a meaning that the plow kills the snow.,FALSE
350,aEAzKong,syracuse,Hamad,FALSE
351,DE65Ac9V,syracuseï¿½ï¿½ï¿½s snow ,Itï¿½ï¿½ï¿½s our own snow defeating m,FALSE
352,hIQnOphn,syracuse,Mohammed,FALSE
353,qGqsF4rB,syracuse,Yes,FALSE
354,6FVUKENQ,plowy mcplowface,https://en.m.wikipedia.org/wiki/Boaty_McBoatface,FALSE
355,HSCERwFG,trottoir,Fitting name for the job their doing.,FALSE
356,wv0QG73E,plowy mcplowface,https://en.wikipedia.org/wiki/Boaty_McBoatface,FALSE
357,LPL9N0ip,slush musher,way to refer to undesirable snow.,FALSE
358,6A7sHOWD,snowy mcsnow plow,Whimsical recognition of the serious purpose of the plow.,FALSE
359,lGNVb2Ah,salt city steamer,The nickname for Syracuse and steamer to plow through,FALSE
360,01AykkKZ,maximus or louis,"Maximus means the greatest/ biggest in Latin, Louis means a gold coin in fra",FALSE
361,fQ6KM2Gf,tony montanas nose,To make it look like the plow is snorting cocaine while it moves snow,FALSE
362,tSHEK3qN,snow off,Clearing,FALSE
363,9x17tBME,salt shaker,The salt hopper on the rear is similar to a salt shaker from the kitchen.,FALSE
364,tSHEK3qN,snowizzard,Blizzards,FALSE
365,sFjdtBtA,betsy,English teacher's daughters and I just think that's neat.,FALSE
366,vB0DRdXg,dan de-freeze,business Fleet Feet Syracuse,FALSE
367,lGNVb2Ah,the onondaga express,Named for the county,FALSE
368,HznJMVXZ,plowy mcplowface,"It will go viral and bring media coverage to our city. (Google ""Boaty McBoatFace"")",FALSE
369,KjnCE6Nr,plowy mcplowface,A dedication to Boaty McBoatface,FALSE
370,keSY3Fmp,el massive quitanieves monster,Syracuse who speak Spanish. So I want people who speak Spanish to be able to read the name on the snow plow.,FALSE
371,LPL9N0ip,plowa dean,"A pun on Paula Dean, the American TV personality",FALSE
372,CWIfrGdM,spirit of syracuse,The hardest working employees are keeping us safe,FALSE
373,CAFVucwu,snowy mcsnowface,We love snow!,FALSE
374,OQQmiRK4,snow holds barred,Snow will be gone from the roads by any means necessary!!!,FALSE
375,pkk7BoyF,snow biden,"He's crisp, he's cool, he's our new president, and he's a Syracuse University alum.",FALSE
376,g4RFiIpv,plow your mind,It sounds like Blow your mind,FALSE
377,f7W23UBk,plowy mcplowface,Itï¿½ï¿½ï¿½s a funny name and would brighten the dreary winter days when someone sees Plowy McPlowface driv,FALSE
378,LPL9N0ip,black ice,An homage to the worst part of winter,FALSE
379,IdIlHfyK,clementine,"Itï¿½ï¿½ï¿½s the name of the snow plow in the movie Snow Day, which was set in Syr",FALSE
380,pkk7BoyF,teddy snowsevelt,"He's the Bullmoose. Whether it's rough riding down to Cuba or down Euclid, he's speaking softly and carrying a big stick.",FALSE
381,lGNVb2Ah,walsh's snow ride,Name after the mayor,FALSE
382,Ci0HHoIa,gungnir,"interpretation here of ""swords to plowshares"" (or perhaps spear-to-plow, as it were).",FALSE
383,LPL9N0ip,slush crusher,Slush Musherï¿½ï¿½ï¿½s sister sno,FALSE
384,7YguLwqq,schneepflug,itï¿½ï¿½ï¿½s really fun to say ï¿½ï¿½ï¿½Schne,FALSE
385,1P5wQFUZ,popeye,An icon and a brut force; a beloved vintage cartoon,FALSE
386,JW2HWfc3,orange crush,Plows are Orange like su,FALSE
387,pkk7BoyF,snow malone,"Posty, and no one plows better than the 'Cuse.",FALSE
388,ZanGnT1v,snowy mcsnowface,"A distance relative of the ever popular autonomous submersible, Boaty McBoatface",FALSE
389,RBMB1l0E,summer,NA,FALSE
390,1P5wQFUZ,brutus,FORCE; STRENGTH,FALSE
391,ykxvG97y,snopen plowy,which is the color of the truck.,FALSE
392,LPL9N0ip,dump truck,An ironic misnomer for a snow plow,FALSE
393,VjxRjqm3,bohemoth,Massive,FALSE
394,GUZum2v1,david plowie,N/A,FALSE
395,M7qec1k0,covid 1-10,2020,FALSE
396,0xA19t9x,dawg,supervisors,FALSE
397,xkC5fPyF,plowy mcplowface,Itï¿½ï¿½ï¿½s ,FALSE
398,3OAB8kEe,snowpiercer,It's from a movie about a train that travels through a frozen landscape,FALSE
399,pkk7BoyF,spongebob snowpants,shift flipping patties at the Krusty Krab?,FALSE
400,GGzpEo8i,exterminator,"Getting rid of snow, leaves, yard debris.",FALSE
401,pkk7BoyF,plowy mcplowface,I'm sure everyone put this but I just had to make sure,FALSE
402,qFp9U9S5,hercules,Power and strength,FALSE
403,AUNnvcf6,plowy mcplowface,Just a consistent internet trend for naming contests.,FALSE
404,HYz3zXPA,i'm always on a coffee break.,Personal observation,FALSE
405,c0WQ3csG,cuse snow baller,cleaning our streets,FALSE
406,KyUA1BAr,drift buster,Can bust through any snow drift in CNY,FALSE
407,Z7s3N4L4,snow to go,To honor all the take out places that have made COVID 19 somewhat easier. Especially for senior citizens.,FALSE
408,pkk7BoyF,salt city sweeper,the tongue like the snow rolls off the plow.,FALSE
409,c0WQ3csG,syracuse storm trooper,Im a Star Wars fan,FALSE
410,EyNwTcze,clementine,"The film took place in Syracuse and they mention Syracuse and the then, Carousel Center, throughout the movie. The film is",FALSE
411,AiC7HPQU,plowy mcplowface,Self-evident,FALSE
412,LPL9N0ip,local warming,removing snow.,FALSE
413,qk8ITsoT,crystal flakes,How the snow looks on a bright day,FALSE
414,RHcB1jva,the machine,Them thangs are Ford tough,FALSE
415,vmS3ShnB,plowy mcplow face,From the Boaty McBoat Face,FALSE
416,c0WQ3csG,below zero hero,Itï¿½ï¿½ï¿½s cold outside when plowing and these heroï¿½ï¿½ï¿½s work 24 hours to clean,TRUE
417,Z7s3N4L4,slush puppy,To honor all the great vineyards in NYS.,FALSE
418,HYz3zXPA,saving fuel.,Not plowing,FALSE
419,tXEhaMvl,orange zone,"Get it, because SU is orange and also because we couldn't manage the COVID outbreak",FALSE
420,LPL9N0ip,salt city sweeper,A connection to our cityï¿½ï¿½ï¿½s nickname as well  as the function of a sno,FALSE
421,lj7WSrSB,mater,Easy going but fierce when needed,FALSE
422,ZQLy08Pp,snowy,Well we get alot of snow here in Syracuse ny,FALSE
423,LPL9N0ip,snow day bane,A humorous reference to the role of snow plows in preventing snow days for students,FALSE
424,ZQLy08Pp,snow fighter,Are plows  fight the snow like crazy,FALSE
425,3YW04vcG,plowy mcplowface,It is my grandmother's name,FALSE
426,LPL9N0ip,snowless in syracuse,A reference to ï¿½ï¿½ï¿½Sleepless in Seat,FALSE
427,TWzGpop9,snowbuster,Thatï¿½ï¿½ï¿½s self ev,FALSE
428,VFZqT8cK,get otto here snow!,Fun,FALSE
429,skOOQWEo,snow fighter,Youï¿½ï¿½ï¿½re fighting th,FALSE
430,3YemCuN8,abominable monster,Christmas show,TRUE
431,skOOQWEo,scrapper,Your scrapping the roads,FALSE
432,rhSfpeii,snowbusters,Busts up snow. Who you ganna call Snowbusters.,FALSE
433,XaRreVV7,that name again is mr. plow,Simpson's reference,FALSE
434,iS19LGl3,general plow,I love chicken,FALSE
435,skOOQWEo,snow white,Snow is white,FALSE
436,tR7QJW8q,blizzard buster,self explanatory,FALSE
437,kXJeSrSQ,triarii,"Latin for ""it comes down to the triarii"".When the weather goes sour, and our roads get covered, it comes down to the Elite Snow",FALSE
438,wOrKO7XI,plowy mcplow face,Should have won the boat. Do the right thing!,FALSE
439,nFoOF1Rc,snow matters,To me it's obvious because of the amount of snow,FALSE
440,CiPRLwpL,ýý \_(ýýý)_/ýý,ýýýýýý,FALSE
441,EvllVrQ5,paddington bear,know he would love it if there was a plow named Paddington. It would be good karma to have a plow named after such a kind,FALSE
442,gS9pNO0Q,"rudolph, vixen, dance, prancer, comet, blitzen,","Cupid, Donner, Dasher & Olive  (Santa's Reindeers)",FALSE
443,tR7QJW8q,snow problem,funny. Need to play with font for 'no' in snow to make it work.,FALSE
444,ItYraiip,plowy mcplowface,The truck is a plow with the face a plow has,FALSE
445,skOOQWEo,yukina,Means Snow Princess and Snow Flower,FALSE
446,nFoOF1Rc,big ben,Named after the Mayor,FALSE
447,Yr45BX55,tootsie,Name of our cat,FALSE
448,tR7QJW8q,stormin' norman,fun,FALSE
449,rxyZEoSF,"the duke""","Duke is a surname meaning""the leader""",FALSE
450,zdQLNQCE,old fart,Name of my beloved Slyvester - a cat who passed away,FALSE
451,nxg5MWHJ,mr. t-rex,"Because the trucks say ""Rawr""",FALSE
452,Dp5x9Jde,balto,Plows are local heroes like Balto was,FALSE
453,hZI24bHw,plowy mcplowface,"The Internet named a $300 million boat ""Boaty McBoatface"".",FALSE
454,kuJvl7JZ,jim plowheim,"Jim Boheim, SU menï¿½ï¿½ï¿½s basketball coach but itï¿½ï¿½ï¿½s pronoun",FALSE
455,zcXn4bKs,plowy mcplowface,Itï¿½ï¿½ï¿½s a plow with ,FALSE
456,nFoOF1Rc,syracuse express,Because the plows move quickly.,FALSE
457,X85xLsCu,plowy mcplowface,Internet sensation,FALSE
458,C6G0d9Hz,meat plow,Its funny,FALSE
459,nFoOF1Rc,dpw snow warrior,Honoring the snow plow drivers,FALSE
460,eBqkJw08,snowball champ!,Best winters in NYS,FALSE
461,dIL0Wsca,sir salter scott,Salt,FALSE
462,W1EjlTTC,walter the salter,Salt,FALSE
463,i6wTGO7o,mr. plow,The simpsons,FALSE
464,A6KvWqi4,hi planes drifer,Stoners bewher,FALSE
465,nFoOF1Rc,snow warrior,because of the effort required to get the streets plowed,FALSE
466,2wylJBxa,david plowie,Musical,FALSE
467,tR7QJW8q,lake-effect larry,none,FALSE
468,nFoOF1Rc,sanctionary city plow # 1,Because Syracuse is a sanctuary city,FALSE
469,tR7QJW8q,snow big deal,funny. play with font for 'no',FALSE
470,VpKbz5W6,plowy mcplowface,It's a fun name,FALSE
471,GYHlgDKi,salt city pride,we are the salt city and we should have great pride for what we're known for,FALSE
472,JI9yYO31,salt potato,"It's clear, right? Salt. Salt Potatoes. Syracuse!",FALSE
473,kXlQDKWp,frost cleaver,"Breaker of Ice, Clearer of Ways",FALSE
474,3Au1F4Ji,mr. plow,Simpsons reference,FALSE
475,j9yBvbJD,ice breaker,Syracuse icy streets,FALSE
476,1Bv2ryFZ,salt city hero,at all hours and everyday to keep us safe.,FALSE
477,WxJIUOxc,blizzard storm,We get a lot of snow. No matter how bad it is outside the plows are out in force clearing the roadways.,FALSE
478,OY1jkxO8,mr. plow,"That's my name, that name again is Mr Plow",FALSE
479,phzDuHqP,salt city pusher,Pretty self explainable,FALSE
480,147X3gwT,plowy mcplowface,Its funny/cute,FALSE
481,tR49dlRu,the louis marshall,"minority groups. He was also a outspoken conservationist, and helped re-establish the SUNY College of Environmental Science",FALSE
482,u2bVAXMk,dauntless,Persists no matter whatï¿½ï¿½ï¿½s bef,FALSE
483,u2bVAXMk,resolute,Persists no matter what,FALSE
484,cbaqPeDY,plowy mcplowface,during winter.,FALSE
485,wscl19L1,unlimited plower!,Mace Windu.,FALSE
486,u2bVAXMk,freya,Norse Goddess,FALSE
487,wscl19L1,plower to the people,"Power to the people!  I know it's an extra word, but they are little words.  It could work....",FALSE
488,wOrKO7XI,glorified snow shovel,It is what it is.,FALSE
489,xszfDJu0,whiteout,Plows drive in them,FALSE
490,wOrKO7XI,the abominable snow-eater,NA,TRUE
491,J8ydAD16,hornet,Badass,FALSE
492,cIj70pLi,scrape cuse,Snowplows Scrape and the Cuse is short for   Syracuse,FALSE
493,JGGDFgBS,fred,movie cars,FALSE
494,kstq5OJZ,the big saltine,Syracuse is the Salt City,FALSE
495,dDLCH4EU,itï¿½ï¿½ï¿½s about,Maybe now the residential streets will be plowed,FALSE
496,J8ydAD16,lola,Trucks can be female too!,FALSE
497,3Vzjbawd,plowy mcplowface,Tradition,FALSE
498,1CzBNBy7,ernie davis,Isn't it obvious?,FALSE
499,8fLBS3Eh,small walt,"Hero snowplow in the children's book ""Small Walt""",FALSE
500,VeTs6FPT,dr. plowci,will serve with dignity!!!,FALSE
501,GUZum2v1,plowin' otto,otto is syracuse's mascot,FALSE
502,ynnOMEOz,plowy mcplowface,Its what it should be named,FALSE
503,wscl19L1,crater creator,"We've all seen, and been in the holes!  Let's be honest.",FALSE
504,yeUvlW8c,spacejam,Good name,FALSE
505,qE8FyGrG,mario desantis,make Syracuse a musical Mecca for generations.,FALSE
506,Z21CCTBh,plowie,Itï¿½ï¿½ï¿½s a silly nickname for the sno,FALSE
507,1J1XeItX,plowy mcplow,It's funny and tells what the machine does!,FALSE
508,k0eMb3Ox,the beast,Most Blizzards in February in Upstate NY,FALSE
509,yeUvlW8c,winter is coming,Game of thrones!,FALSE
510,k0eMb3Ox,abominable,The Snow monster in Rudolph,TRUE
511,3bREYE0B,plowy mcplowface,Plowy McPlowFace,FALSE
512,511q2NYS,the blower,NA,FALSE
513,4Ohi1ntv,"snow dozer""","the blade and ""dozer"" on the other side of the v-shape plow!",FALSE
514,YUsRuECJ,the mighty stacey,Stacey is my daughter who lives in the Westcott area and drives the awesomely plowed city streets!,FALSE
515,uvazi6mt,doris,I just think it's a great name,FALSE
516,4UEYGV48,mr. salty,Salty Roads,FALSE
517,k0eMb3Ox,tonka,The heavy Tonka dump trunks that were unbreakable in the 80's,FALSE
518,4VnsdIJO,snowy,It snows a lot in Syracuse,FALSE
519,vkzmd9f1,plowy mcplowface,It can be the loveable misfit plow,FALSE
520,4UEYGV48,plows matter,"Plows snow that is technically ""matter""",FALSE
521,wOrKO7XI,jeff,NA,FALSE
522,k0eMb3Ox,everest,Mt Everst the highest mountain but still climbable.,FALSE
523,d9YVFbj4,snow white,Fairy tale heroine,FALSE
524,PtSdb97A,big bird,"The plows are yellow, right?  Big Bird is such a positive personality. We're thrilled to see those plows coming down the street!",FALSE
525,Fxs38ZxG,onondaga king!,The best Plow.,FALSE
526,SAZeIYfD,thor,God of storms and protection of mankind.,FALSE
527,vNtwd4m9,snow piercer,It's a cool movie about snow and ice.,FALSE
528,g6ehu61T,plowmelo anthony,Named after one of our favorites,FALSE
529,1FbfHmm0,snowman,I chose Snowman because the truck has 3 levels like a snowman,FALSE
530,SAZeIYfD,audrey,Noble Strength,FALSE
531,Yj6S9Lnm,plowy mcplowface,Someone was going to suggest this name. It might as well be me.,FALSE
532,GT52eFna,otto,SU Mascot and lovable fruit,FALSE
533,2NvSKlom,plowie mac plow face,and horrible year?,FALSE
534,vNtwd4m9,socialism for you.,Municipal snow plows are socialism at work.,FALSE
535,rD6rVZWf,floyd blizzardï¿½ï¿½ï¿½ ,"Would be a great way to honor Floyd, from what I understand he is not doing well and Iï¿½ï¿½ï¿½m sure this would lift his s",FALSE
536,PYOVD6UR,plowy mcplowface,Itï¿½ï¿½ï¿½s fun. We could all use some l,FALSE
537,teHuhisg,the snow-minator,"The snow plow works like the Terminator,.",FALSE
538,ZPAdqqWh,"big bertha, or big billy","Because they are big, in what they do and size, and",FALSE
539,FMUROWhI,syracuse snow surger,Surges clear anything out of their path.,FALSE
540,dXRHcRZh,the snowball express,Because of the amount  snow we get each year,FALSE
541,pt9IkiOI,plowy mcplowface,Take off on Boaty McBoatface,FALSE
542,EMdnQgfC,henry vaughn,Long time employee that worked snow removal.,FALSE
543,SP9EtAvC,snowplow mcsnowplowface,It embodies the spirit of Syracuse while staying true to its Irish roots,FALSE
544,mMel6Zaw,olaf,Snowman from Disney movie,FALSE
545,wOrKO7XI,greg,NA,FALSE
546,yxQt7WTl,betty plow or plow betty,I just liked the name Betty for large equipment.,FALSE
547,oCOjnTXt,salty,Syracuse is the salt city and the plows put salt on the roads,FALSE
548,cnvkhgAu,plow king on one truck. /  mr. plow on another,then competes for business with Barney Gumble the ï¿½ï¿½ï¿½Plow K,FALSE
549,RRYnbtQP,doug,Itï¿½ï¿½ï¿½,FALSE
550,o3FOxaIP,salt city knight,"Knight for 2 reasons. I'm a SCSD Teacher (Nottingham), and recently Nate Knight (graduate from Nottingham) was first student",FALSE
551,8pTZRPex,plowie mcplowface,Kewl,FALSE
552,RRYnbtQP,doug jr.,Itï¿½ï¿½ï¿½,FALSE
553,OqUpfYq6,plowy mcplowface,great vessels with online voting.,FALSE
554,RRYnbtQP,doug the third,Itï¿½ï¿½ï¿½,FALSE
555,3ssjoz3M,NA,This one goes out to the car I used to know.,NA
556,AiC7HPQU,doug the fourth,Itï¿½ï¿½ï¿½,FALSE
557,XnTfljGu,mailbox punter,For all the smashed mailboxes in the world.,FALSE
558,2wZPsU02,ploughy mcploughface,Paternal grandfather,FALSE
559,6nNlKVpd,skadi,The Norse Goddess of winter and of the hunt,FALSE
560,2wZPsU02,august west,Wharf Rat grateful dead,FALSE
561,oCOjnTXt,plower power,Sounds strong and mighty -- like our city & our workers,FALSE
562,7IYsrDb6,dennis,He looks like a Dennis,FALSE
563,jYwvCK4Z,bismark,Hugh,FALSE
564,1HCtHGYO,plowy mcplowface,Pop culture says Syracuse must have at least one plow with this name,FALSE
565,I9LFGRYe,plow master,Just popped into my head,FALSE
566,1U4O6vRf,lulu,the Hotel Syracuse and went to where their iron chest of millions in loot was stashed.  He had been on trial for tax evasion in,FALSE
567,kZWtUILw,pushy pearl,"Pliws ""push"" snow and Pearl just soundd like a goid name for someone to call their vehicle!",FALSE
568,7IYsrDb6,ortygia,"It's the island in the center of the ancient city of Syracuse, Greece",FALSE
569,WCjxDKJR,resilience,"word to describe the spirit of Syracuse. I have been living here for only a few months, yet this word continues to be embodied in",FALSE
570,pKa9tRDI,the avenger,Tough! And will get the job done. No matter what Mother Nature dishes out to us in CNY.(Repeatedly    HaHa),FALSE
571,bcUwlwzr,salty the snow slayer,"Throwin' salt is it's job, slayin' snow is it's purpose.",FALSE
572,7XxuYuUi,jolene,"One of the most Iconic Names in all of music, and Itï¿½ï¿½ï¿½s a strong , unforgettable name. Dolly doesnï¿½ï¿½ï¿½t get en",FALSE
573,lGvaimp5,"we are crew, not passengers.","not-for-profit organization. ELMS, next to Clary Middle School, was just named an EL Education Crendentialed network school.",FALSE
574,WctI7SS4,clearin cuse,Random,FALSE
575,oZNKjYgS,el nino,"In Spanish it's meaning is ""The Little Boy"".",FALSE
576,53qblWjq,plowed your mom,We all appreciate the snow fighters keeping out lovely mothers free from snow.,FALSE
577,aAe2Z4xx,blanket (or blankey),This plow will clear a fresh BLANKET of snow,FALSE
578,L5kZAYKC,plowy mcplowface,NA,FALSE
579,rz4yL8o4,"salt city, orange and then the other 8 after the 8 tnt areas of the city - downtown, westside, northside, valley...",Connects to our communities,FALSE
580,4rDitdNV,the duke,There can only be one,FALSE
581,aGSwHmth,otto the snow thrower,I mean... Otto for Syracuse. And Snow Thrower cause I think it's pretty obvious.,FALSE
582,h5DxIf2l,snow dog,Moving snow,FALSE
583,lYJV1aP8,snow-mater,Combination of winter and Tow-Mater from Cars,FALSE
584,LA6N2oMW,megatron,Most powerful source of the removal of our adversary...ie Central New York snow!,FALSE
585,lv1ytP6v,with snow and wind syracuse community will be clean.,I chose this name because the city and the workers who drive the trucks do their best to keep our city clean in the winter.,FALSE
586,7ajjjg4b,amazing grace,Working snow plow trucks are an amazing grace when clearing the roads/streets; providing for a safe commute in a snowy city,FALSE
587,wtnfffmL,corona crusher 2020,This will crush the virus,FALSE
588,8Kg7TPrS,keep on rolling,because of  the hard working crews,FALSE
589,rzG9oBPj,it's about time !!,been needed for a while now,FALSE
590,IdIlHfyK,plowy mcplowface,My great grandfatherï¿½ï¿½ï¿½s ni,FALSE
591,EBkT01oP,plow daddy,"It is in honor of my father, Plow Daddy, who was killed in a public plowing incident.",FALSE
592,2xr6AHTY,cuse-a-tron,A beast of a vehicle in the 'Cuse,FALSE
593,f2bvTsGd,sedgwick farm,Largest historic district of homes in Syracuse.,FALSE
594,f2bvTsGd,tipp hill,One of Syracuse's favorite neighborhoods!,FALSE
595,2xr6AHTY,ice-a-'cuse,Icy Winters,FALSE
596,f2bvTsGd,southside,One of the best areas in Syracuse! I feel all of the plows should be named for the amazing areas of Syracuse!,FALSE
597,f2bvTsGd,northside,One of the best areas in Syracuse! I feel all of the plows should be named for the amazing areas of Syracuse!,FALSE
598,f2bvTsGd,eastwood,One of the best areas in Syracuse! I feel all of the plows should be named for the amazing areas of Syracuse!,FALSE
599,f2bvTsGd,hawley-green,One of the best areas in Syracuse! I feel all of the plows should be named for the amazing areas of Syracuse!,FALSE
600,f2bvTsGd,downtown,One of the best areas in Syracuse! I feel all of the plows should be named for the amazing areas of Syracuse!,FALSE
601,2xr6AHTY,tyrannosaurus 'cuse,We are the Snow Capital and Tyrannosaurus Rex was the Fiercest Dinosaur,FALSE
602,kGC8VgDf,plowy mcplowface,Memes,FALSE
603,f2bvTsGd,strathmore,The name of a neighborhood with many historic homes,FALSE
604,id6qxH2C,snogo- mobile,NA,FALSE
605,Fb9qi6NH,the salt plowtato,"Homage to both our incredible snow season, and our beloved salt potato",FALSE
606,jTyAtxGf,syracuse snow beast,We are Syracuse tough...winter snow beasts.,FALSE
607,C5XW5mKa,floyd little #44,"He was the first ever first-round draft pick to sign with the American Football League's Denver Broncos, where he was known as",FALSE
608,RUcl3Vuf,plowy mcplowface,A tribute to the infamous RRS Sir David Attenborough originally named Boaty McBoatface,FALSE
609,E4TJNW4E,lake effect,Sooooo CNY!,FALSE
610,aMGiOeGd,salt city street scraper,Histo-Functional Alteration,FALSE
611,TnclxjCv,93 blizzard buster,"Remembering the blizzard of 1993, and the hard work crews put in to clear the snow",FALSE
612,n4CDig3e,not again!,Just funny;),FALSE
613,G1P5k85I,the onondaga word for snow.  i'm not sure what it is.,"Respect to the Onondaga Nation, who's land we live on.",FALSE
614,n4CDig3e,snow day!,Just cute,FALSE
615,WMZb5NZa,may,from 1845 to 1868ï¿½ï¿½ï¿½aiding the Underground Railroad and opposing segregation in his congrega,FALSE
616,n4CDig3e,salt city,Syracuseï¿½ï¿½ï¿½s m,FALSE
617,xOdnyiOQ,floyd,In honor of Floyd Little,FALSE
618,jR1ls64I,the pearl,In honor of Pearl Washington,FALSE
619,n4CDig3e,snow popular syracuse,cute,FALSE
620,2jWYM4vc,shining diamond,Our city is worth so much like diamonds and deserves to be Clean of the snow as much as possible.,FALSE
621,7hLDrrLh,blizzard,We can get some nasty Blizzard's  here in Syracuse!,FALSE
622,n4CDig3e,snow -a- cuse,Cute,FALSE
623,Lj0pIwTa,polar express,"I don't really have a meaning behind it, I liked the movie and it sounds like a good name for a snowplow",FALSE
624,n4CDig3e,summer yet?,Cute,FALSE
625,quRvrSKa,slow snow removal,sometimes we are reactive than proactive,FALSE
626,jR1ls64I,the express,In honor of Ernie Davis,FALSE
627,jR1ls64I,melo,For Carmello Anthony,FALSE
628,H9kY1Xdf,push overï¿½,Do I have to explain...?,FALSE
629,14lDqoEw,snow piercer,"Fighting snow storms,",FALSE
630,hJ5FvlNW,plowface,Suggested by my youngest. But he thinks teeth should be painted on the plow too.,FALSE
631,14lDqoEw,flake finder,Fighting snow storms.,FALSE
632,mOd4Kwrh,mr. buster,"strong, get the job done",FALSE
633,a5O3nNiW,viva la cuse,No explanation needed.,FALSE
634,80hKwPZ8,huginn and muninn,would fly off and travel the whole world and return before breakfast. The rest of the day they would whisper in Odin's ears the,FALSE
635,SzudZBEY,chuck,It is another word for getting rid of something :o),FALSE
636,ZYkBrJE2,twinkle toes,Flintstones!,FALSE
637,SybdI4xh,salt city slayer,We slay snowstorms,FALSE
638,C6G0d9Hz,mr. plow,That's it's name,FALSE
639,1FPr5gwY,plowy mcplowface,It's a meme,FALSE
640,MAaD6RaG,lattï¿,ýýýBecause itýýýs funny.ýýý,FALSE
641,u0wznTG6,snowplowman,the kids try to keep him from plowing the roads so schools can stay closed!  Funny movie,FALSE
642,LqLrk9XF,plowy mcplowface,History,FALSE
643,uAFAE7q4,salty dog,Large plows distribute large amounts of salt on the roads. A play on the maritime slogan.,FALSE
644,aL15xlJU,salt bae,"Its a reference to the ""salt bae meme"".",FALSE
645,uAFAE7q4,plowerful,Plows are powerful    condensed into a one word name title,FALSE
646,kPZKf4QV,ýýýlil salt potato,Salt city/birthplace of salt potatoes,FALSE
647,UenWPPbf,orange julius,Orangemen/slushy drink/slush and snow,FALSE
648,fBCqeHp7,leo lionheart,"Courage and fidelity, like our plow drivers.",FALSE
649,uAFAE7q4,move your asphalt,What I am yelling at the slow snowplow when Iï¿½ï¿½ï¿½m on my way to work.,FALSE
650,eouUGwLz,laci,and is closing due to the COVID Pandemic,FALSE
651,F27rdJJ3,sno problem,will be no problem (we hope),FALSE
652,eouUGwLz,nikki,the COVID-19 Pandemic.,FALSE
653,jScrJUnu,clubber lang,that messes with Clubber Lang!ï¿½,FALSE
654,JTUumdBZ,"eastwood,valley, sside, nside, wside, eside ,dtown , tipp hill ,university ,helper",Thats where they should be,FALSE
655,c9TepFxI,plowie mcplow face,It's a reference to a contest naming a boat that name was boatie Mcboat face,FALSE
656,jScrJUnu,golden hammer,NA,FALSE
657,uAFAE7q4,drift dodger,A play on the phrase ï¿½ï¿½ï¿½ draft dodgerï¿½ï¿½ï¿½. Plows remove ,FALSE
658,3mpgtceF,snow hawk,Because it flies through the snow and can see at night,FALSE
659,wOrKO7XI,sno hoe,NA,FALSE
660,PU79HZib,orange warrior,After our Orangemen (and we cannot use The Saltine Warrior).....,FALSE
661,fjwFOAQA,clear-a- cuse warrior!,Winning the fight against snow on the roads!,FALSE
662,GNRGOb3t,snow much fun,Syracuse and snow go together for Snow Much Winter Fun every year!,FALSE
663,3GHMt5u2,plowy mcplowface,A plow with a plow face,FALSE
664,5nBEdtOV,throwsthestreetsludgeonthesidewalks,It best describes what the city plow drivers do,FALSE
665,wOrKO7XI,boaty mcboat face,Any poll's a goal.,FALSE
666,GNRGOb3t,plow it cool,A play on the phrase Play it Cool,FALSE
667,GNRGOb3t,snow buddy's business,"A play on the phrase ""It's Nobody's Business"", framing the plow as a ""Buddy"" to all.",FALSE
668,gxVpqk3p,flurry,NA,FALSE
669,cdK7JXCb,rosebud,Nostalgic reference to sledding from Citizen Kane,FALSE
670,uAFAE7q4,the whiteï¿½ï¿½ï¿½,"A play on the phrase, ï¿½ï¿½ï¿½The right stuffï¿½ï¿½ï¿½ only refer",FALSE
671,24kFi9E3,trump2024,this will be the winning ticket in the next US presidential election,FALSE
672,pPmPiTuu,cuse-town plowing,"Living in Cuse-town all my life, I feel its fitting.",FALSE
673,s6NwlUtb,mr plow,I'm a Simpsons fan.,FALSE
674,Uas2hiNw,plowy mcplowface,Itï¿½ï¿½ï¿½s a running joke for municipal naming contests around the world. Google ï¿½ï¿½ï¿½Boaty M,FALSE
675,vNtwd4m9,plowy mcplowface,It is a good name.,FALSE
676,RiLvJjiH,cuse blizzard express,to Express as used in the Ernie Davis football movie.,FALSE
677,GNRGOb3t,roadie runner,"A play on the Road Runner from WB cartoons, who always makes it through despite the coyote.",FALSE
678,pdMIstdi,tony plowiano,Like Tony soprano but a snow plow,FALSE
679,udsLB8Am,"shamrock 'n roll, or shamrock, or shamrock and rolling along (something irish related)","rich in historic Irish culture and although everyone ""bleeds orange"" for the Syracuse orange, in this little part of Syracuse,",FALSE
680,hCvP0jv1,gogee,My cat,FALSE
681,sn7VSktj,salty sara,"Sara is a good name for vehicle, and she provides the salt :)",FALSE
